	Astrocytes_14	Astrocytes_40	Astrocytes_41	Astrocytes_42	Astrocytes_44	Blood_73	Ependymal_47	Excluded_30	Excluded_38	Excluded_44	Excluded_6	Immune_14	Immune_32	Immune_34	Immune_35	Neurons_10	Neurons_11	Neurons_12	Neurons_14	Neurons_15	Neurons_16	Neurons_17	Neurons_18	Neurons_19	Neurons_20	Neurons_21	Neurons_22	Neurons_23	Neurons_24	Neurons_25	Neurons_26	Neurons_27	Neurons_28	Neurons_30	Neurons_48	Neurons_49	Neurons_51	Neurons_52	Neurons_54	Neurons_58	Neurons_59	Neurons_60	Neurons_61	Neurons_62	Neurons_63	Oligos_0	Oligos_1	Oligos_14	Oligos_5	Oligos_53	Vascular_14	Vascular_46	Vascular_67	Vascular_68	Vascular_69	Vascular_70
545.377x1766.777	0.037156753	1.5436212e-10	1.5435211e-10	0.027565576	1.5380108e-10	0.031814974	1.5323771000000001e-10	0.04099555	0.06778945	1.5281361999999998e-10	0.0054637697	1.5350801e-10	0.0038709613	1.535619e-10	0.0044481694	0.058904294	1.5379817e-10	0.10338763	1.5367236999999998e-10	0.044863977	1.5452944e-10	1.5443898999999996e-10	0.026053509	1.540812e-10	0.06452764	1.5451911999999998e-10	1.5464266e-10	1.5412382e-10	1.5269911999999998e-10	0.052788008	1.5371135e-10	1.5402185e-10	0.10648322	0.003302453	0.019115435	0.030690962	1.5381488e-10	1.535083e-10	1.5345386e-10	0.14118774	1.5311004e-10	0.086512	1.5458546000000002e-10	1.5408415e-10	0.0060604904	0.0005716099400000001	1.5458987e-10	0.013869936	1.5353144e-10	1.541297e-10	1.5337574e-10	0.011484745	0.007843041	1.5438803e-10	1.5242994e-10	0.0032480715
568.853x1766.777	1.3410055e-10	0.00025632564	0.017674398	0.026399817000000003	0.041560657	0.01839425	0.0012651802	1.342464e-10	1.3441936e-10	1.3415863e-10	1.3288476000000002e-10	1.3396761e-10	0.006622023	0.0042721485	1.3305214e-10	1.3442245e-10	1.3388689e-10	0.10176997	1.3413866000000002e-10	0.055944607	0.061916098	1.3441988e-10	0.07066410000000001	1.3341375e-10	1.338154e-10	1.341727e-10	1.3445116e-10	1.3305036e-10	0.045661904	0.030225538	1.3415452e-10	0.15738265	0.15595217	1.3437708e-10	0.007749685	1.3391244e-10	1.3242174e-10	1.3436478e-10	0.015347781	0.08648214	1.3436016e-10	0.029234577	1.3438989e-10	1.3290681000000002e-10	1.3360527e-10	1.3224731999999999e-10	1.3354513000000001e-10	0.0067552486	1.3437758e-10	0.020567996	1.3381973e-10	0.012162931	1.343089e-10	0.009793042	1.3442628999999999e-10	0.015944721000000002
580.59x1787.021	2.0147095e-10	0.04897425	0.004421047	2.0293302e-10	2.0173821e-10	0.014834711	0.0016088643	2.0286493e-10	0.028632233	1.9984821e-10	2.0287537e-10	2.0272102e-10	0.007382771999999998	0.004982534	2.029218e-10	0.04622968	2.0148402e-10	0.08775068	2.0288775e-10	0.040463105	2.0108283e-10	2.0096128999999998e-10	0.08103158	2.0204548999999998e-10	2.014844e-10	2.0247758e-10	0.025740555	0.012207146	2.0066598e-10	0.004616533	0.05433715	2.0278328e-10	0.17671059	0.0032277233	0.034845512	0.014977907	2.005275e-10	2.0120637e-10	2.0270053999999998e-10	0.08960131	2.0167358e-10	0.15117285	0.029614042	2.0181558000000001e-10	2.0282546e-10	2.0241192e-10	0.0073511633	2.0236716e-10	0.0043842047	2.0102492e-10	2.023996e-10	0.010632386	0.0022870505	2.020617e-10	2.0292296e-10	0.011982392
475.291x1725.951	2.4409888e-10	0.08774401	2.444665e-10	0.019816393	2.43637e-10	0.06288622	0.0038572475	2.44661e-10	0.046859995	2.421605e-10	0.0059853196	2.4334768e-10	0.006064855	2.441906e-10	2.4472915e-10	2.4252797e-10	2.4114277000000004e-10	0.24432696	2.4241004e-10	2.4511737e-10	2.44661e-10	2.4524362999999996e-10	0.009811885	0.022079611	2.4434202e-10	2.442922e-10	2.4244795e-10	2.4238786e-10	2.4389223999999997e-10	0.0037808325	2.430953e-10	2.4179863999999997e-10	0.16776223	2.4367697000000003e-10	2.4353897000000003e-10	0.04651499	2.451543e-10	2.4428892000000004e-10	0.008729184000000001	0.13382076	2.440756e-10	0.018029379	0.035886854	2.4533908e-10	2.4508465e-10	0.00400032	2.4260152e-10	2.4286867000000003e-10	2.442507e-10	0.012888637	2.4348554e-10	0.025197841	2.4265567e-10	0.02213135	0.009910909	0.0019140797
533.81x1746.364	0.036858287	0.05441967	2.1871034e-10	2.2062762999999998e-10	2.1828152000000002e-10	0.02632708	2.1958897000000003e-10	2.2071725e-10	0.11570993	2.1727256000000002e-10	0.013025706	2.1888354e-10	0.004800199000000001	0.006692703	2.202841e-10	0.051949207	2.1839812000000002e-10	0.18063073	2.1817162999999998e-10	2.2044212000000003e-10	2.1714537000000002e-10	2.2048583999999998e-10	2.2049678999999998e-10	0.0007026522	0.06880198400000001	2.2005815e-10	2.2074042999999998e-10	2.2058932e-10	2.1732605e-10	2.2017066000000002e-10	0.022125157000000003	2.197155e-10	0.10037258	0.017556099999999998	2.1841645e-10	0.07719923599999999	2.1947591e-10	2.1843562000000003e-10	2.2076735e-10	0.09758927	2.1893487999999999e-10	2.2050517999999998e-10	0.08979462	0.007563276	2.2009299e-10	0.005057657	0.0023021302	2.2027442000000002e-10	2.1878503e-10	2.2066253999999998e-10	2.1843477000000002e-10	0.020521708	2.1919102999999998e-10	2.188397e-10	2.1970041000000002e-10	2.2081581000000002e-10
662.584x1725.951	5.6319777e-10	5.610823e-10	5.6190913e-10	5.6134564e-10	5.664209999999999e-10	0.027560363	0.024772009	5.610749e-10	0.10648938	5.620699e-10	0.061846487	5.644819e-10	5.621825e-10	5.6578614e-10	5.653277e-10	0.05953422200000001	5.6203675e-10	0.15053870000000005	5.6614885e-10	5.662439400000002e-10	5.661327e-10	5.6144095e-10	5.670253e-10	5.649051e-10	0.07408349	5.678500000000001e-10	0.014118656	0.0032224332	5.620946e-10	0.008037768	0.052213784000000006	5.559976e-10	0.032074697	5.628348e-10	5.643731e-10	0.0747747	5.632235e-10	5.636825e-10	5.620806599999998e-10	0.11769574	5.667669e-10	5.634750000000001e-10	0.15753523	5.6604843e-10	5.590314e-10	5.670891e-10	0.009739741	5.6041066e-10	5.6706206e-10	5.668739e-10	5.6296473e-10	0.0034568002000000004	5.569868e-10	0.022305936	5.6575916e-10	5.585496e-10
685.889x1725.951	0.054090973	0.02004176	1.882981e-10	1.8947403e-10	1.8932304e-10	0.04811437	1.89636e-10	1.9005894e-10	0.05441799	1.8913318e-10	0.0075963214	1.8999262e-10	1.8929233000000001e-10	0.00824764	1.892104e-10	1.8946968999999998e-10	1.8851551999999998e-10	0.082569845	1.8798481e-10	0.030922642	0.011336062	1.8903436e-10	0.02391698	1.9012891e-10	0.08721179	1.8974167e-10	0.03880888	1.8954706000000002e-10	1.8874108999999998e-10	0.03357199	0.03409671	0.006689378	0.16129576	1.9008685e-10	1.8837354e-10	0.038223736	0.01594798	1.8968592e-10	1.8816672e-10	0.103687726	1.8869718e-10	0.046468504	0.038319565	0.031279262	1.9014779e-10	1.8969028e-10	0.00058795005	0.003746668	1.8983651e-10	1.8926057e-10	1.8939743999999998e-10	0.010945586	0.007863822	1.8896658e-10	1.8886642e-10	1.8842528e-10
709.365x1725.951	4.309964e-10	0.008046424	4.3283105e-10	4.3193045999999996e-10	4.3161671e-10	4.3341844e-10	0.0059525054	0.06851078	0.16679747	4.2980527e-10	0.008597246	4.312513e-10	4.328913e-10	4.3195433e-10	4.309216e-10	4.3078519000000005e-10	4.334531e-10	4.3078355e-10	0.05086365	0.122029364	4.3303005999999996e-10	4.3371945e-10	0.033196423	4.3305812e-10	0.16406833	0.002017235	0.073224545	0.058664408	4.2989542e-10	0.0025148878	4.2764972e-10	4.2848985e-10	0.043117184	0.0023055465	4.337939e-10	0.0663112	0.0045146940000000005	4.333986e-10	0.026349677	0.060612112	4.3049525e-10	0.02842733	4.2941684000000004e-10	4.2533052e-10	4.329937e-10	4.3286735e-10	4.2583947e-10	4.3305895e-10	4.2920477999999997e-10	4.304821e-10	4.3192963e-10	4.2749965e-10	0.0038790498	4.3147512999999996e-10	4.2692438e-10	4.2769704000000003e-10
721.102x1746.364	2.8505348e-10	0.06786691	2.8461614e-10	0.03922964	2.8447502999999997e-10	0.07301389400000001	2.8341027e-10	0.058937117	0.07345386	2.8209868e-10	0.012377991	2.8463404e-10	2.8446256e-10	2.808976e-10	2.820707e-10	2.8452277e-10	2.8442512e-10	0.029791268	2.84791e-10	0.058466043	2.8301272e-10	2.8389072000000004e-10	0.036718227	0.012033859	0.048445087000000005	2.8480077e-10	0.035693992	2.828589e-10	2.8436922e-10	0.10545413	2.842174e-10	2.8230376e-10	0.086025305	2.847899e-10	0.0023100504000000003	0.040613715	2.8491867e-10	2.8354005e-10	0.013436713	2.8267713e-10	2.846764e-10	0.021767164	2.8429709e-10	2.8359035e-10	2.8365582e-10	2.8133246e-10	0.0026629753000000003	0.0041286615	2.83632e-10	2.814795e-10	2.8365366e-10	0.02653455	2.841014e-10	0.062436182	2.8268038e-10	0.08860274
732.67x1725.951	5.537824e-10	0.010567344	5.573173e-10	5.5397575e-10	5.485482e-10	0.060381845	0.0084333895	5.506626e-10	0.17005858	5.528104e-10	0.03942144	5.588768e-10	5.552780000000001e-10	5.575034e-10	0.017901871	5.560527599999998e-10	5.544789e-10	0.07300986	5.5143096e-10	5.516234700000002e-10	5.533052e-10	5.5626276e-10	5.5346033e-10	5.561079e-10	0.13494635	5.479626e-10	5.496081e-10	0.05871876	5.510272e-10	0.05762056	0.02856814	5.5851024e-10	0.028462952000000007	0.0072496925	5.5201393e-10	0.13702343	5.5638055e-10	5.498503e-10	0.014111218	0.078221604	5.549021e-10	5.583281e-10	5.5641347e-10	0.056706835	5.581055599999999e-10	5.539483e-10	5.517781e-10	5.582578299999998e-10	5.558163e-10	5.5692523e-10	0.004398375	0.003625207	5.573290000000001e-10	0.01057268	5.5446514e-10	5.568264e-10
